A|General Works
AC|Collections, Series, Collected works
AE|Encyclopedias
AG|Dictionaries and other general reference works (other than Encyclopedias)
AI|Indexes
AM|Museums
AN|Newspapers
AP|Periodicals
AS|Societies, Academies
AY|Yearbooks, Almanacs, Directories
AZ|General history of scholarship and learning
Amisc|Misc and Other
B|Philosophy, Psychology, Religion
BC|Logic
BD|Speculative philosophy
BF|Psychology
BH|Aesthetics
BJ|Ethics
BL|Religions, Mythology, Rationalism, Hinduism
BM|Judaism
BP|Islam, Bahai Faith
BQ|Buddhism
BR|Christianity
BS|Bible and exegesis
BT|Doctrinal theology
BV|Practical theology
BX|Christian Denominations
C|Auxiliary Sciences of History (General)
CB|History of Civilization (General and general special only)
CC|Archaeology
CD|Diplomatics, Archives, Seals
CE|Technical Chronology, Calendar
CJ|Numismatics (Coins, Tokes, Medals, Medallions)
CN|Inscriptions, Epigraphy
CR|Heraldry
CS|Genealogy
CT|Biography
D|History (General) and History of Europe
DA|Great Britain
DB|History of Austria, Austro-Hungarian Empire
DC|France, Andorra, Monaco
DD|Germany
DE|Greco-Roman World
DF|Greece
DG|Italy - Malta
DH|Low countries, Benelux Countries (Belgium, Luxembourg)
DJ|Netherlands (Holland)
DJK|Eastern Europe (General)
DK|Russia, Soviet Union, Former Soviet Republics, Poland
DL|Northern Europe, Scandivavia
DP|Spain, Portugal
DQ|Switzerland
DR|Balkan Peninsula
DS|Asia
DT|Africa
DU|Oceania (South Seas - Australia, New Zealand, Polynesia)
DX|Gypsies
E|American and the United States History (general)
F|United States (local) and America Outside of U.S. History
G|Geography, Anthropology, Recreation
GA|Mathematical geography, Cartography
GB|Physical Geography
GC|Oceanography
GE|Environmental Sciences
GF|Human Ecology, Anthropogeography
GN|Anthropology
GR|Folklore
GT|Manners and customs (general)
GV|Recreation, Leisure
H|Social Sciences
HA|Statistics
HB|Economic theory, Demography
HC|Economic history and conditions
HD|Industries, Land use, Labor
HE|Transportation and communications
HF|Commerce (including tariff)
HG|Finance
HJ|Public Finance
HM|Sociology (General)
