Cleaned LoCC Code,Count
E,2246
JK,109
BS,610
PR,9656
PQ,4823
JN,34
KD,78
PA,606
DC,960
BR,240
PS,10958
SK,116
HV,397
TX,419
F,1860
QH,624
AP,2594
BV,659
CT,284
PZ,7175
GV,283
PM,100
LB,167
TN,44
PN,991
PJ,139
BX,749
Q,200
HQ,430
KF,79
PC,120
DS,942
PE,243
D,1394
BF,463
PT,2938
GT,107
GR,304
QK,205
DA,1654
HD,194
B,489
DG,492
BP,142
HX,144
QB,153
SB,240
AE,140
QE,168
QP,76
BJ,276
DT,409
RJ,14
HT,65
QL,668
M,47
BT,208
DU,216
PH,1376
SF,232
DL,93
PG,509
G,499
DJ,51
BL,422
HB,93
JC,85
UA,87
HM,50
DB,74
V,25
JV,24
AG,251
QC,154
J,72
N,216
Z,557
UD,12
TL,106
PB,59
ML,360
TJ,64
TK,105
DH,161
TT,167
LC,53
HF,90
DD,196
DQ,38
S,109
BD,46
ND,301
GN,126
PK,102
T,196
H,13
HN,70
NA,252
HA,4
SD,23
K,33
GB,25
JF,14
DR,105
DF,121
BM,46
UE,8
HG,72
HJ,12
JX,44
QA,81
HS,33
RC,196
DK,201
TC,41
CR,41
RA,114
PL,428
RB,7
U,85
LA,60
LD,17
NK,155
TA,53
Amisc,23
CB,43
JS,4
QD,83
RT,11
TS,117
RS,17
DP,228
P,26
PF,47
UG,30
NC,189
BC,23
MT,74
BH,19
NB,33
CC,9
LF,35
HE,174
VM,25
SH,60
PD,12
RG,34
JA,6
DE,21
TP,81
AC,57
TG,4
KJ,22
KBR,2
RM,79
R,96
HC,46
GF,6
VK,28
UB,8
TR,41
DX,17
CE,6
LT,10
TH,43
KL,3
TF,31
RZ,8
RD,33
BQ,27
RX,10
VF,3
QR,18
JQ,7
NE,49
UF,11
KN,2
GC,13
CJ,9
L,8
RE,5
NX,5
KH,1
CS,23
QM,16
AZ,8
RV,1
AS,5
VA,10
UH,13
DJK,2
RL,2
RK,6
RF,4
LE,1
CN,2
TE,6
KZ,31
JL,2
TD,26
UC,9
GA,8
KP,1
VG,1
VB,2
AM,4
JZ,2
KBM,1
VE,1
AY,4
LH,7
KNX,2
KU,1
CD,1
KE,1
