Original LoCC Code,Count
AC,57
AE,140
AG,251
AM,4
AP,2594
AS,5
AY,4
AZ,8
Amisc,23
B,489
BC,23
BD,46
BF,463
BH,19
BJ,276
BL,422
BM,46
BP,142
BQ,27
BR,240
BS,610
BT,208
BV,659
BX,749
CB,43
CC,9
CD,1
CE,6
CJ,9
CN,2
CR,41
CS,23
CT,284
D,532
D501,829
D731,33
DA,1654
DB,74
DC,960
DD,196
DE,21
DF,121
DG,492
DH,161
DJ,51
DJK,2
DK,201
DL,93
DP,228
DQ,38
DR,105
DS,942
DT,409
DU,216
DX,17
E011,528
E151,440
E186,36
E201,126
E300,429
E456,530
E660,99
E740,50
E838,2
E895,6
F001,141
F1001,294
F106,161
F1201,67
F1401,41
F1461,4
F1481,1
F1501,2
F1521,2
F1541,1
F1561,9
F1601,7
F1751,27
F1861,4
F1900,11
F1951,8
F2001,8
F206,128
F2131,2
F2155,16
F2201,49
F2251,3
F2301,7
F2351,17
F2501,35
F2661,12
F2701,5
F2801,63
F296,33
F3051,10
F3301,6
F3401,22
F350.5,54
F3701,1
F396,39
F476,22
F516,48
F590.3,164
F721,74
F786,75
F850.5,181
F975,6
G,499
GA,8
GB,25
GC,13
GF,6
GN,126
GR,304
GT,107
GV,283
H,13
HA,4
HB,93
HC,46
HD,194
HE,174
HF,90
HG,72
HJ,12
HM,50
HN,70
HQ,430
HS,33
HT,65
HV,397
HX,144
J,72
JA,6
JC,85
JF,14
JK,109
JL,2
JN,34
JQ,7
JS,4
JV,24
JX,44
JZ,2
K,33
KBM,1
KBR,2
KD,78
KE,1
KF,79
KH,1
KJ,22
KL,3
KN,2
KNX,2
KP,1
KU,1
KZ,31
L,8
LA,60
LB,167
LC,53
LD,17
LE,1
LF,35
LH,7
LT,10
M,47
ML,360
MT,74
N,216
NA,252
NB,33
NC,189
ND,301
NE,49
NK,155
NX,5
P,26
PA,606
PB,59
PC,120
PD,12
PE,243
PF,47
PG,509
PH,1376
PJ,139
PK,102
PL,428
PM,100
PN,991
PQ,4823
PR,9656
PS,10958
PT,2938
PZ,7175
Q,200
QA,81
QB,153
QC,154
QD,83
QE,168
QH,621
QH301,3
QK,205
QL,668
QM,16
QP,76
QR,18
R,96
RA,114
RB,7
RC,196
RD,33
RE,5
RF,4
RG,34
RJ,14
RK,6
RL,2
RM,79
RS,17
RT,11
RV,1
RX,10
RZ,8
S,109
SB,240
SD,23
SF,232
SH,60
SK,116
T,196
TA,53
TC,41
TD,26
TE,6
TF,31
TG,4
TH,43
TJ,64
TK,105
TL,106
TN,44
TP,81
TR,41
TS,117
TT,167
TX,419
U,85
UA,87
UB,8
UC,9
UD,12
UE,8
UF,11
UG,30
UH,13
V,25
VA,10
VB,2
VE,1
VF,3
VG,1
VK,28
VM,25
Z,557
